Club,Player,Span,Mat,Substitution ,Mins,Goals,xG,Shots,OnTarget,xG_Per_Avg_Match,Shots_Per_Avg_Match,On_Target_Per_Avg_Match,Goals_per_Match
(JUV),Cristiano Ronaldo,(2016-2020),124,2,11390,111,107.96,751,296,0.87,6.06,2.39,0.90
(BAR),Lionel Messi,(2016-2020),133,13,12773,135,111.77,744,345,0.84,5.59,2.59,1.02
(BAY),Robert Lewandowski,(2016-2020),126,9,11663,127,125.11,587,275,0.99,4.66,2.18,1.01
(ROM),Edin Dzeko,(2016-2020),125,16,12187,70,80.29,583,251,0.64,4.66,2.01,0.56
(LAZ),Ciro Immobile,(2016-2020),141,8,13081,107,84.96,534,279,0.60,3.79,1.98,0.76
(SAM),Fabio Quagliarella,(2016-2020),139,7,12270,73,72.74,491,217,0.52,3.53,1.56,0.53
(TOR),Andrea Belotti,(2016-2020),142,6,13596,74,67.23,469,205,0.47,3.30,1.44,0.52
(ATL),Luis Suarez,(2016-2020),124,11,11415,95,91.36,454,220,0.74,3.66,1.77,0.77
(CHE),Timo Werner,(2016-2020),128,9,11294,82,65.98,422,202,0.52,3.30,1.58,0.64
(NAP),Dries Mertens,(2016-2020),95,22,8836,66,50.7,389,199,0.53,4.09,2.09,0.69
(LIV),Mohamed Salah,(2016-2020),108,4,9860,64,58.75,384,187,0.54,3.56,1.73,0.59
(ARS),Pierre-Emerick Aubameyang,(2016-2020),112,8,10671,88,83.08,361,186,0.74,3.22,1.66,0.79
(HOF),Andrej Kramaric,(2016-2020),97,25,9312,63,56.43,358,175,0.58,3.69,1.80,0.65
(CEL),Iago Aspas,(2016-2020),132,9,12306,80,66.88,346,163,0.51,2.62,1.23,0.61
(MNC),Sergio Aguero,(2016-2020),74,14,6576,58,57.33,333,121,0.77,4.50,1.64,0.78
(TOT),Harry Kane,(2016-2020),95,2,8973,71,53.96,332,156,0.57,3.49,1.64,0.75
(RMA),Karim Benzema,(2016-2020),102,8,8987,57,57.23,324,149,0.56,3.18,1.46,0.56
